unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1706227200,2024-01-26 00:00:00,SAND/USD,0.43900,0.43900,0.43900,0.43900,0.00000000,0.0
1706223600,2024-01-25 23:00:00,SAND/USD,0.43900,0.43900,0.43900,0.43900,0.00000000,0.0
1706220000,2024-01-25 22:00:00,SAND/USD,0.43900,0.43900,0.43900,0.43900,1862.86243735,817.79660999665
1706216400,2024-01-25 21:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706212800,2024-01-25 20:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706209200,2024-01-25 19:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706205600,2024-01-25 18:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706202000,2024-01-25 17:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706198400,2024-01-25 16:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706194800,2024-01-25 15:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,0.00000000,0.0
1706191200,2024-01-25 14:00:00,SAND/USD,0.43530,0.43530,0.43530,0.43530,274.98085199,119.69916487124702
1706187600,2024-01-25 13:00:00,SAND/USD,0.43711,0.43711,0.43711,0.43711,0.00000000,0.0
1706184000,2024-01-25 12:00:00,SAND/USD,0.43711,0.43711,0.43711,0.43711,0.00000000,0.0
1706180400,2024-01-25 11:00:00,SAND/USD,0.43711,0.43711,0.43711,0.43711,0.00000000,0.0
1706176800,2024-01-25 10:00:00,SAND/USD,0.43711,0.43711,0.43711,0.43711,1000.02934830,437.122828435413
1706173200,2024-01-25 09:00:00,SAND/USD,0.43930,0.43930,0.43930,0.43930,0.00000000,0.0
1706169600,2024-01-25 08:00:00,SAND/USD,0.43930,0.43930,0.43930,0.43930,0.00000000,0.0
1706166000,2024-01-25 07:00:00,SAND/USD,0.43930,0.43930,0.43930,0.43930,46.93725707,20.619537030851003
1706162400,2024-01-25 06:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706158800,2024-01-25 05:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706155200,2024-01-25 04:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706151600,2024-01-25 03:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706148000,2024-01-25 02:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706144400,2024-01-25 01:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706140800,2024-01-25 00:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706137200,2024-01-24 23:00:00,SAND/USD,0.44240,0.44240,0.44240,0.44240,0.00000000,0.0
1706133600,2024-01-24 22:00:00,SAND/USD,0.44240,0.44250,0.44240,0.44240,2250.88347174,995.7908478977761
1706130000,2024-01-24 21:00:00,SAND/USD,0.44010,0.44020,0.44010,0.44020,167.77135202,73.85294915920399
1706126400,2024-01-24 20:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706122800,2024-01-24 19:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706119200,2024-01-24 18:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706115600,2024-01-24 17:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706112000,2024-01-24 16:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706108400,2024-01-24 15:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706104800,2024-01-24 14:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706101200,2024-01-24 13:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706097600,2024-01-24 12:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706094000,2024-01-24 11:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,0.00000000,0.0
1706090400,2024-01-24 10:00:00,SAND/USD,0.44397,0.44397,0.44397,0.44397,6928.40646651,3076.004618936445
1706086800,2024-01-24 09:00:00,SAND/USD,0.44039,0.44039,0.44039,0.44039,0.00000000,0.0
1706083200,2024-01-24 08:00:00,SAND/USD,0.44039,0.44039,0.44039,0.44039,0.00000000,0.0
1706079600,2024-01-24 07:00:00,SAND/USD,0.44039,0.44039,0.44039,0.44039,500.00000000,220.195
1706076000,2024-01-24 06:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,0.00000000,0.0
1706072400,2024-01-24 05:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,0.00000000,0.0
1706068800,2024-01-24 04:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,0.00000000,0.0
1706065200,2024-01-24 03:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,0.00000000,0.0
1706061600,2024-01-24 02:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,0.00000000,0.0
1706058000,2024-01-24 01:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,0.00000000,0.0
1706054400,2024-01-24 00:00:00,SAND/USD,0.43830,0.43830,0.43830,0.43830,45.36947835,19.885442360805
1706050800,2024-01-23 23:00:00,SAND/USD,0.44044,0.44044,0.44044,0.44044,85.83416049,37.8047976462156
1706047200,2024-01-23 22:00:00,SAND/USD,0.42959,0.42959,0.42959,0.42959,0.00000000,0.0
1706043600,2024-01-23 21:00:00,SAND/USD,0.42959,0.42959,0.42959,0.42959,0.00000000,0.0
1706040000,2024-01-23 20:00:00,SAND/USD,0.42959,0.42959,0.42959,0.42959,54.00053982,23.198091901273802
1706036400,2024-01-23 19:00:00,SAND/USD,0.43260,0.43260,0.43260,0.43260,0.00000000,0.0
1706032800,2024-01-23 18:00:00,SAND/USD,0.43260,0.43260,0.43260,0.43260,0.00000000,0.0
1706029200,2024-01-23 17:00:00,SAND/USD,0.43260,0.43260,0.43260,0.43260,0.00000000,0.0
1706025600,2024-01-23 16:00:00,SAND/USD,0.43260,0.43260,0.43260,0.43260,0.00000000,0.0
1706022000,2024-01-23 15:00:00,SAND/USD,0.43269,0.43270,0.43260,0.43260,3582.62947175,1549.84550947905
1706018400,2024-01-23 14:00:00,SAND/USD,0.42169,0.42169,0.42169,0.42169,0.00000000,0.0
1706014800,2024-01-23 13:00:00,SAND/USD,0.42169,0.42169,0.42169,0.42169,0.00000000,0.0
1706011200,2024-01-23 12:00:00,SAND/USD,0.42169,0.42169,0.42169,0.42169,0.00000000,0.0
1706007600,2024-01-23 11:00:00,SAND/USD,0.42169,0.42169,0.42169,0.42169,0.00000000,0.0
1706004000,2024-01-23 10:00:00,SAND/USD,0.42169,0.42169,0.42169,0.42169,0.00000000,0.0
1706000400,2024-01-23 09:00:00,SAND/USD,0.42169,0.42169,0.42169,0.42169,128.34205627,54.120561708496304
1705996800,2024-01-23 08:00:00,SAND/USD,0.44000,0.44000,0.43300,0.43300,10733.61117195,4647.65363745435
1705993200,2024-01-23 07:00:00,SAND/USD,0.44731,0.44731,0.44731,0.44731,342.82898190,153.350831893689
1705989600,2024-01-23 06:00:00,SAND/USD,0.45880,0.45880,0.45880,0.45880,0.00000000,0.0
1705986000,2024-01-23 05:00:00,SAND/USD,0.45880,0.45880,0.45880,0.45880,0.00000000,0.0
1705982400,2024-01-23 04:00:00,SAND/USD,0.45880,0.45880,0.45880,0.45880,1286.86327077,590.412868629276
1705978800,2024-01-23 03:00:00,SAND/USD,0.45240,0.45240,0.45240,0.45240,0.00000000,0.0
1705975200,2024-01-23 02:00:00,SAND/USD,0.45240,0.45240,0.45240,0.45240,0.00000000,0.0
1705971600,2024-01-23 01:00:00,SAND/USD,0.45240,0.45240,0.45240,0.45240,0.00000000,0.0
1705968000,2024-01-23 00:00:00,SAND/USD,0.45240,0.45240,0.45240,0.45240,0.00000000,0.0
1705964400,2024-01-22 23:00:00,SAND/USD,0.45240,0.45240,0.45240,0.45240,3518.29734748,1591.6777199999522
1705960800,2024-01-22 22:00:00,SAND/USD,0.46612,0.46612,0.46612,0.46612,0.00000000,0.0
1705957200,2024-01-22 21:00:00,SAND/USD,0.46612,0.46612,0.46612,0.46612,0.00000000,0.0
1705953600,2024-01-22 20:00:00,SAND/USD,0.46625,0.46625,0.46612,0.46612,1811.27766175,844.27274369491
1705950000,2024-01-22 19:00:00,SAND/USD,0.46568,0.46568,0.46568,0.46568,1499.76736067,698.4116645168056
1705946400,2024-01-22 18:00:00,SAND/USD,0.46041,0.46041,0.46041,0.46041,1811.27766175,833.9303482463175
1705942800,2024-01-22 17:00:00,SAND/USD,0.45870,0.45870,0.45870,0.45870,0.00000000,0.0
1705939200,2024-01-22 16:00:00,SAND/USD,0.45870,0.45870,0.45870,0.45870,0.00000000,0.0
1705935600,2024-01-22 15:00:00,SAND/USD,0.45870,0.45870,0.45870,0.45870,156.73524591,71.894457298917
1705932000,2024-01-22 14:00:00,SAND/USD,0.46500,0.46500,0.46500,0.46500,0.00000000,0.0
1705928400,2024-01-22 13:00:00,SAND/USD,0.46500,0.46500,0.46500,0.46500,0.00000000,0.0
1705924800,2024-01-22 12:00:00,SAND/USD,0.46500,0.46500,0.46500,0.46500,100.00000000,46.5
1705921200,2024-01-22 11:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,0.00000000,0.0
1705917600,2024-01-22 10:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,0.00000000,0.0
1705914000,2024-01-22 09:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,0.00000000,0.0
1705910400,2024-01-22 08:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,0.00000000,0.0
1705906800,2024-01-22 07:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,0.00000000,0.0
1705903200,2024-01-22 06:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,0.00000000,0.0
1705899600,2024-01-22 05:00:00,SAND/USD,0.47289,0.47289,0.47289,0.47289,197.00000000,93.15933
1705896000,2024-01-22 04:00:00,SAND/USD,0.47651,0.47651,0.47651,0.47651,0.00000000,0.0
1705892400,2024-01-22 03:00:00,SAND/USD,0.47651,0.47651,0.47651,0.47651,0.00000000,0.0
1705888800,2024-01-22 02:00:00,SAND/USD,0.47651,0.47651,0.47651,0.47651,1202.10637372,572.8157081413171
1705885200,2024-01-22 01:00:00,SAND/USD,0.48860,0.48860,0.48860,0.48860,0.00000000,0.0
1705881600,2024-01-22 00:00:00,SAND/USD,0.48860,0.48860,0.48860,0.48860,0.00000000,0.0
1705878000,2024-01-21 23:00:00,SAND/USD,0.48860,0.48860,0.48860,0.48860,0.00000000,0.0
1705874400,2024-01-21 22:00:00,SAND/USD,0.48860,0.48860,0.48860,0.48860,0.00000000,0.0
1705870800,2024-01-21 21:00:00,SAND/USD,0.48860,0.48860,0.48860,0.48860,50.80180802,24.821763398572
1705867200,2024-01-21 20:00:00,SAND/USD,0.49060,0.49060,0.49060,0.49060,0.00000000,0.0
1705863600,2024-01-21 19:00:00,SAND/USD,0.49060,0.49060,0.49060,0.49060,0.00000000,0.0
